ID,Name,Length_bp,Count_A,Count_T,Count_C,Count_G,GC_percent
NM_102733.3,CAB1,1230,316,330,294,290,47.48
NM_018947.6,CYCS,5432,1548,1645,1030,1209,41.22
NM_003548.2,H4C14,396,84,71,114,127,60.86
NM_000518.5,HBB,628,139,167,157,165,51.27
NM_000207.3,INS,465,91,77,156,141,63.87
